Began,Ended,Country,Magnitude,Dead,Displaced,MainCause
2022-08-02,2022-08-31,Nepal,2,132.0,5500.0,Heavy Rain
2022-06-14,2022-09-14,Pakistan,2,1739.0,33000000.0,Heavy Rain
2022-07-24,2022-08-01,Afghanistan,1.5,13.0,0.0,Heavy Rain
2022-08-16,2022-08-21,Afghanistan,2,156.0,249900.0,Heavy Rain
2022-06-21,2022-06-26,Georgia,1,0.0,5200.0,Heavy Rain
2022-09-09,2022-09-17,Nepal,1.5,15.0,500.0,Heavy Rain
2021-09-22,2021-09-24,Georgia,1,0.0,1780.0,Heavy Rain
2020-05-01,2020-05-04,Kazakhstan,1.5,0.0,33000.0,Heavy Rain
2020-05-01,2020-05-11,Uzbekistan,1.5,4.0,70000.0,Heavy Rain
2020-06-01,2020-06-11,Pakistan,1,7.0,5000.0,Heavy Rain
2020-05-14,2020-05-16,Tajikistan,1,2.0,2690.0,Heavy Rain
2021-07-28,2021-07-29,Pakistan,1,5.0,90.0,Heavy Rain
2021-09-11,2021-09-13,Pakistan,1.5,19.0,0.0,Heavy Rain
2023-03-17,2023-03-22,Pakistan,1,10.0,0.0,Heavy Rain
2023-03-25,2023-03-25,Pakistan,1.5,14.0,50.0,Heavy Rain
2023-04-29,2023-05-03,Pakistan,1.5,12.0,0.0,Heavy Rain
2023-06-15,2023-06-19,Nepal,1.5,36.0,1500.0,Heavy Rain
2023-06-15,2023-06-16,Georgia,2,0.0,350000.0,Heavy Rain
2023-07-22,2023-07-24,Pakistan,1.5,13.0,0.0,Heavy Rain
2023-08-20,2023-08-27,Pakistan,1.5,16.0,0.0,Heavy Rain
2023-08-27,2023-08-30,Tajikistan,1.5,21.0,0.0,Heavy Rain
2023-09-01,2023-09-04,Pakistan,1.5,6.0,89500.0,Heavy Rain
2024-02-27,2024-03-04,Afghanistan,1.5,39.0,0.0,Heavy Rain
2024-02-27,2024-03-04,Pakistan,1.5,40.0,2770.0,Heavy Rain
2024-03-21,2024-03-30,Afghanistan,1,7.0,1920.0,Heavy Rain
2024-04-03,2024-04-12,Kazakhstan,2,2.0,120000.0,Heavy Rain
2024-04-21,2024-04-22,Kyrgyzstan,2,0.0,103901.0,Heavy Rain
2024-05-05,2024-05-07,Kyrgyzstan,1,0.0,500.0,Heavy Rain
2024-05-05,2024-05-09,Tajikistan,1,3.0,40.0,Heavy Rain
2024-05-10,2024-05-17,Afghanistan,2,357.0,257850.0,Heavy Rain
2024-05-18,2024-05-19,Afghanistan,2,150.0,39000.0,Heavy Rain
2024-05-26,2024-05-26,Armenia,1,4.0,429.0,Heavy Rain
2024-06-01,2024-07-03,Nepal,1.5,24.0,2705.0,Heavy Rain
2024-07-01,2024-08-29,Pakistan,2,368.0,551068.0,Heavy Rain
2024-07-15,2024-07-15,Afghanistan,2,58.0,9625.0,Heavy Rain
2024-07-14,2024-07-16,Kyrgyzstan,1,6.0,3000.0,Heavy Rain
2024-09-26,2024-10-08,Nepal,2,268.0,2590000.0,Heavy Rain
2020-03-04,2020-03-26,Pakistan,2,66.0,4000.0,Heavy Rain
2020-06-01,2020-09-03,Nepal,2,448.0,117390.0,Heavy Rain
2020-08-01,2020-09-03,Pakistan,2,410.0,1550000.0,Heavy Rain
2021-05-02,2021-05-06,Afghanistan,2,116.0,30800.0,Heavy Rain
2021-06-16,2021-06-17,Nepal,1.5,46.0,800.0,Heavy Rain
2022-04-20,2022-04-20,Uzbekistan,1,5.0,159.0,Heavy Rain
2023-07-22,2023-07-24,Afghanistan,2,67.0,126000.0,Heavy Rain
2020-07-31,2020-08-01,Afghanistan,1.5,16.0,0.0,Heavy Rain
2020-04-13,2020-04-16,Afghanistan,1,5.0,0.0,Heavy Rain
2020-05-02,2020-05-05,Afghanistan,1,4.0,5500.0,Heavy Rain
2020-07-29,2020-08-03,Georgia,1,0.0,5133.0,Heavy Rain
2020-08-25,2020-09-04,Afghanistan,2,212.0,15000.0,Heavy Rain
2023-06-25,2023-09-07,Pakistan,2,217.0,28855.0,Heavy Rain
2022-05-02,2022-05-07,Afghanistan,1.5,20.0,780.0,Heavy Rain
2021-09-02,2021-09-06,Nepal,1.5,13.0,1000.0,Heavy Rain
2021-07-01,2021-07-07,Nepal,2,74.0,2050.0,Heavy Rain
2023-05-05,2023-05-05,Afghanistan,1,4.0,1500.0,Heavy Rain
2020-03-31,2020-04-06,Pakistan,1.5,24.0,155.0,Heavy Rain
2021-03-22,2021-03-23,Pakistan,1,2.0,0.0,Heavy Rain
2021-05-07,2021-05-13,Tajikistan,1.5,7.0,25010.0,Heavy Rain
2021-07-28,2021-07-29,Afghanistan,2,260.0,4200.0,Heavy Rain
2021-10-16,2021-10-22,Nepal,2,118.0,0.0,Heavy Rain
2021-07-01,2021-09-30,Pakistan,2,194.0,0.0,Heavy Rain
2022-06-30,2022-07-11,Afghanistan,1.5,44.0,0.0,Heavy Rain
2023-06-10,2023-06-29,Pakistan,1.5,33.0,150.0,Heavy Rain
2020-03-28,2020-04-21,Afghanistan,2,56.0,15000.0,Heavy Rain
2022-06-22,2022-06-22,Afghanistan,1.5,19.0,1288.0,Heavy Rain
2023-03-24,2023-04-06,Pakistan,1.5,14.0,750.0,Heavy Rain
