DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2022-0770-RWA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,RWA,Rwanda,Sub-Saharan Africa,Africa,Kigali,,,No,No,No,,,Km2,,,,2022,11,17,2022,11,18,3,,,,,,,,,,,93.29460735164,"[{""adm1_code"":21970,""adm1_name"":""Kigali City/Umujyi wa Kigali""}]","[{""gid_1"":""RWA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Umujyi wa Kigali""}]",2022-11-25,2025-12-20
2024-9796-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Kansas, Montana, Idaho, Washington, Mississippi Pennsylvania, Maryland, Delaware and New Jersey",,,No,No,No,,,Km2,,,,2024,1,,2024,12,,,,,,,,,,,5400000,5400000,100,,"[{""gid_1"":""USA.13_1"",""name_1"":""Idaho""},{""gid_1"":""USA.17_1"",""name_1"":""Kansas""},{""gid_1"":""USA.21_1"",""name_1"":""Maryland""},{""gid_1"":""USA.25_1"",""name_1"":""Mississippi""},{""gid_1"":""USA.27_1"",""name_1"":""Montana""},{""gid_1"":""USA.31_1"",""name_1"":""New Jersey""},{""gid_1"":""USA.37_1"",""name_1"":""Oklahoma""},{""gid_1"":""USA.39_1"",""name_1"":""Pennsylvania""},{""gid_1"":""USA.44_1"",""name_1"":""Texas""},{""gid_1"":""USA.48_1"",""name_1"":""Washington""},{""gid_1"":""USA.8_1"",""name_1"":""Delaware""}]",2024-10-29,2025-12-20
2022-0563-IDN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IDN,Indonesia,South-eastern Asia,Asia,Bekasi (Java),,,No,No,No,,,,,,,2022,8,31,2022,8,31,10,20,,,20,,,,,,,93.29460735164,,,2022-09-01,2023-09-26
2022-0586-TUN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,TUN,Tunisia,Northern Africa,Africa,Near Sfax,,,No,No,No,,,,,,,2022,9,8,2022,9,8,20,,,,,,,,,,,93.29460735164,,,2022-09-09,2023-09-26
2023-0193-COD,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:FL-2023-000060,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Bulwa (Masisi, Nord-Kivu)",Heavy rains,,No,No,No,,,,,,,2023,4,2,2023,4,2,19,,,,,,,,,,,97.1349926368752,"[{""adm1_code"":1074,""adm1_name"":""Nord-Kivu""}]","[{""gid_1"":""COD.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nord-Kivu""}]",2023-04-03,2025-12-20
2022-0625-KHM,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,KHM,Cambodia,South-eastern Asia,Asia,Near Sihanoukville,,,No,No,No,,,,,,,2022,9,23,2022,9,23,21,,,,,,,,,,,93.29460735164,,,2022-10-04,2023-09-26
2022-0628-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Uttarakhand state,,,No,No,No,,,,,,,2022,10,5,2022,10,5,31,19,,,19,,,,,,,93.29460735164,,,2022-10-06,2023-09-26
2022-0630-GRC,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,GRC,Greece,Southern Europe,Europe,Near Lesbos,,,No,No,No,,,,,,,2022,10,5,2022,10,5,46,,,,,,,,,,,93.29460735164,,,2022-10-06,2023-09-26
2022-0647-CRI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:FL-2022-000348|GLIDE:TC-2022-000343,Hurricane 'Julia',CRI,Costa Rica,Latin America and the Caribbean,Americas,"Guanacaste, San Jose; Parrita, Garabito, Quepos; Buenos Aires, Golfito and Osa (, Punta Arenas)",,Flood,No,No,No,,,Kph,,,,2022,10,8,2022,10,20,,,300000,,300000,,,,,,,93.29460735164,,,2022-10-10,2023-09-26
2022-0310-SEN,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Hospital,SEN,Senegal,Sub-Saharan Africa,Africa,Tivaoune,,,No,No,No,,,,,,,2022,5,25,2022,5,25,11,,,,,,,,,,,93.29460735164,,,2022-05-27,2023-09-26
2022-0353-NPL,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,NPL,Nepal,Southern Asia,Asia,,,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2022,6,,2022,6,20,21,29,515,,544,,,,,,,93.29460735164,,,2022-06-29,2023-09-26
2022-0383-JOR,No,tec-ind-gas-gas,Technological,Industrial accident,Gas leak,Gas leak,,,JOR,Jordan,Western Asia,Asia,Aqaba,,,No,No,No,,,m3,,,,2022,6,27,2022,6,27,13,206,,,206,,,,,,,93.29460735164,,,2022-06-30,2023-09-26
2022-0384-SEN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,SEN,Senegal,Sub-Saharan Africa,Africa,Near Kafountine (Casamance),,,No,No,No,,,,,,,2022,6,27,2022,6,27,14,21,,,21,,,,,,,93.29460735164,,,2022-06-30,2023-09-26
2022-0393-IRN,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Near Tabas,,,No,No,No,,,,,,,2022,6,8,2022,6,8,21,86,,,86,,,,,,,93.29460735164,,,2022-07-01,2023-09-26
2022-0400-NIC,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Bonnie',NIC,Nicaragua,Latin America and the Caribbean,Americas,,,Flood,No,No,No,,,Kph,,,,2022,7,2,2022,7,2,4,12,3000,,3012,,,,,,,93.29460735164,,,2022-07-05,2023-09-26
2022-0418-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"South Sulawesi, Central Sulawesi and Gorontalo provinces; Maluku Archipelago",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,7,5,2022,7,12,7,,3126,,3126,,,,,,,93.29460735164,,,2022-07-12,2023-09-26
2022-0456-YEM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000265,,YEM,Yemen,Western Asia,Asia,"Marib, Al Mahwit, Taiz, Ibb, Hadramawt, Al Bayda, Amran, Sadaa, Dhamar Al Hodeida, Sana'a Hajjah, Al Mahra governorates (Sanna)",Heavy rains,,No,No,No,,,Km2,,,,2022,7,23,2022,8,5,77,,175000,,175000,,,,,,,93.29460735164,,,2022-07-27,2023-09-26
