snowmelt_mm,water_input_mm,surface_runoff_mm,effective_cn,infiltration_mm,discharge_m3s,base_flow_m3s,risk_level,timestamp,precipitation_mm,temperature_c
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-01,1.4078042699305773,-3.985712889073423
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-02,9.030364292752562,-6.365162209377813
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-03,3.950237080636348,-4.146815259103275
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-04,2.7388276613278597,-8.822991739006898
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-05,0.5088746113870388,-9.650275156128895
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-06,0.5087888757438155,-4.363127344772273
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-07,0.17951630582604203,-6.042545493180917
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-08,6.0336925934398185,-11.330848443271602
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-09,2.7572464608817935,-0.9705646417196618
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-10,3.693750185113771,-8.919498734249636
12.290511094812196,12.352909018809612,0.0,55.75221238938054,12.352909018809612,10.1,10.1,low,2024-01-11,0.062397923997415866,2.7312246877360433
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-12,10.510672425474937,-6.848581503999199
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-13,5.359288630064025,-3.755192892244337
0.009279400292409257,0.010017692965585773,0.0,55.75221238938054,0.010017692965585773,10.1,10.1,low,2024-01-14,0.716062875746841,0.0020620889538687237
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-15,0.6020369662489901,-0.47496681992280365
4.8378423483524875,5.1645763888984355,0.0,55.75221238938054,5.1645763888984355,10.1,10.1,low,2024-01-16,0.6078342684967711,1.0750760774116639
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-17,1.0882611883814315,-9.418216142951355
0.0,0.0,0,72.4778761061947,0.0,10.1,10.1,low,2024-01-18,2.2317834925825633,-8.217838128431538
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-19,1.6966112003410099,-4.0891154289992935
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-20,1.0326689776618245,-2.2003547403809973
0.0,0.0,0,55.75221238938054,0.0,10.1,10.1,low,2024-01-21,2.839112621699396,-4.701407452723766
